text,label
"Just back home from a little gathering with some old friends.. It was really fun, they're still the same. ",1
Hey @ricebunny i need a web cam!!!   (RiceBunny live > http://ustre.am/ZbT),0
only a couple more days before i have to go to faggot summer school ,0
Must admit Zac handled it well!!! ,0
It's warm and sticky but there's no sun  *Sneeze*,0
"Still at home. J still in pain & fevery.  No one will take my camping spot, including my campaholic mom. Gr.",0
watching the holiday .. relaxing ,1
he has a hoodie on cause i have the ac on lol we're camping in the living room ,1
Got a bit over excited when it came to pawing Daniel--peed on the floor. Again. Got sent outside. This brunch is a bust ,0
"Good morning!Got to work some school stuffs w/ @cjpunkedout, @gentxt today.Can't wait to have a good start this week!  Hav a good day!",1
@selemifan101 yeah.. ,0
"got the best addon for twitter, IF YOU USE FIREFOX GET TwitterFOX",1
"Home again, back to work.    ",0
once i'm done eating i'm off to visit my mommy  ,1
@dania_ali suppp sis? love u sooo much ,1
Ah alicia is making me watch saw. Im so scared. ,0
taking a walk with Momma ,1
@fairfielddesign LOL...as per agreement.  Ur funny. Hope ur having a good night ,1
having a sudden craving for soybean milk... but im alredy in bed.. ,0
"Yeah, two cancelations on the same day... ",0
@RubyRose1 pretty sure thats a solid strategy on it's own  i hope you feel better soon,1
"@EskimoJoelted yeah  and LOL at what that borat dude did to him at ze MTV awards, HAHAHAHAHAHHA so crurel",0
@Apocalyptica yes.. You wrote that  but which one is it? #nosy ^^,1
@gica_p hehe que bom ,1
my favorite video on YouTube has been deleted. bummer,0
Ohh.. I forgot I got ice cream in the fridge. Yeah. Happy face. I should take a pic... I love taking pics.. ,1
kinda sad I'm not in Boston at LeakyCon right now ,0
@DavidArchie Seriously i miss you so much  Come back to Sri KDU again please !!! I love you!,0
Omg i feel like death ,0
getting ready for school....Summer's on its way!! ,1
@JimAnning Still not sure I can make it ,0
to Utah in September and we will meet up again.  Quality people.  Barely made it home on the metro after the festivities. ,1
@TwistedMacSista The link didn't work ,0
@abell31 i tried but could not fall asleep! I was so angry! Hahaha ,1
@geremy12 The German parliament introduced a a law could be used to censor the net. Full story: http://bit.ly/mqDpJ It's bad... ,0
@Holliday10 New brakes for my car. ,0
"@WaDuRosario No really, I looked it up and it is a form of type   i wonder what it is in japanese,",1
#Austin #timewarner Internet down ,0
@JKsGirlx2  don't even worry about it. I'm just teasing. I did get desperate though and went back and re-read BT. ,1
I won the memory game! ,1
"I just found a usefully tool - www.jpginfo.com. Ah, it's free  It's displaying a lot of exif info for your pictures. Amazing ",1
"@yoggsaron Ha ha..no, it's just...um, nevermind.  What are you going to have for din-dins? :3",1
"@jordanknight I can't fall back to sleep...darn, I wish the gym was open at 6am...hmm..maybe it is?  Time to look into that. ",1
Goodmorning ,1
@Beverly__Hills good luck with the dream  @Jessicaveronica @Lisa_Veronica do rock.I bet they have very loyal fans! Afteral they r Aussie,1
@leddy2286 well ur gonna borrow it ,1
@brandydyke I know! I'm so bummed!!!!!!!! ,0
nothing to do debating if I should get my for ao I can update from it or not lol gah its freaking hot here ,0
