feedback_id,user_id,raw_text,channel,aspect_category,urgency_score,label,timestamp
10001,792,Love the new checkout flow update! Very intuitive.,Call Center Note,Billing Defect,0.067,1,2026-09-09 09:23:34
10002,674,"The checkout update looks great but it crashed once for me, mixed feelings.",Twitter,General Praise,0.4698,1,2026-09-12 02:15:34
10003,990,"Fast shipping and nice packaging, will order again.",Mobile App,App Crash,0.1348,1,2026-09-01 18:01:34
10004,194,The website works fine but could use minor improvements.,Web Review,Billing Defect,0.5893,1,2026-08-29 20:31:34
10005,487,The checkout flow redesign makes everything so much smooth.,Mobile App,Product Quality,0.2189,1,2026-08-26 20:38:34
10006,333,The checkout flow redesign makes everything so much intuitive.,Email Support,Billing Defect,0.2114,1,2026-08-24 02:41:34
10007,266,"Fast shipping and eco-friendly packaging, will order again.",Email Support,Shipping Delay,0.136,1,2026-08-23 01:15:34
10008,350,Really impressed with how smooth the mobile app experience is now.,Twitter,UI Ergonomics,0.1905,1,2026-08-30 18:52:34
10009,894,"It does what it says, nothing special about the website.",Mobile App,App Crash,0.5212,1,2026-08-14 23:28:34
10010,680,"Fast shipping and eco-friendly packaging, will order again.",Email Support,App Crash,0.0199,1,2026-09-12 08:19:34
10011,651,"Not terrible, but the search still logged me out sometimes after the fix.",Email Support,General Praise,0.4419,1,2026-09-09 02:56:34
10012,605,"Not terrible, but the notifications still crashed once sometimes after the fix.",Mobile App,Billing Defect,0.6992,0,2026-08-18 12:10:34
10013,710,The support chat works fine but could use minor improvements.,Web Review,Product Quality,0.4991,1,2026-08-24 23:01:34
10014,400,Love the new design update! Very fast.,Web Review,App Crash,0.2306,1,2026-09-03 04:00:34
10015,208,"Major outage across the platform, unable to reach support for hours.",Email Support,General Praise,0.9167,0,2026-09-05 14:55:34
10016,643,"Customer support resolved my login problem in 5 minutes, amazing team.",Mobile App,Product Quality,0.1618,1,2026-08-28 06:28:34
10017,680,"The notifications update looks great but it logged me out for me, mixed feelings.",Mobile App,Billing Defect,0.4718,1,2026-09-04 15:14:34
10018,269,The dashboard redesign makes everything so much intuitive.,Email Support,Product Quality,0.1979,1,2026-09-10 02:58:34
10019,787,"Support was friendly about my shipping question, though it took a while to get a straight answer.",Email Support,UI Ergonomics,0.4603,1,2026-09-06 01:44:34
10020,702,"Support was polite about my refund request, though it took a while to hear back.",Twitter,Billing Defect,0.4063,1,2026-08-16 17:57:34
10021,172,Love the new dashboard update! Very smooth.,Call Center Note,App Crash,0.2716,1,2026-08-26 04:35:34
10022,690,"Customer support resolved my shipping question in 5 minutes, amazing team.",Web Review,App Crash,0.217,1,2026-09-04 01:01:34
10023,520,"Customer support resolved my billing issue in 5 minutes, amazing team.",Web Review,General Praise,0.1977,1,2026-08-15 23:35:34
10024,982,Really impressed with how smooth the onboarding experience is now.,Mobile App,App Crash,0.1208,1,2026-08-22 05:41:34
10025,355,"Decent experience overall, website was okay.",Mobile App,UI Ergonomics,0.4555,1,2026-09-07 13:31:34
10026,270,"App keeps crashing during checkout step, this is unacceptable!",Web Review,UI Ergonomics,0.9742,0,2026-09-04 10:11:34
10027,499,"Decent experience overall, app was okay.",Email Support,UI Ergonomics,0.6088,0,2026-08-26 11:59:34
10028,693,"Not terrible, but the search still crashed once sometimes after the fix.",Call Center Note,Billing Defect,0.489,1,2026-08-27 18:57:34
10029,971,"The notifications is completely broken since the last update, losing customers.",Twitter,Billing Defect,0.6699,0,2026-09-09 14:21:34
10030,352,"System latency is terrible after the server migration, nothing works.",Call Center Note,Product Quality,0.692,0,2026-08-15 07:49:34
10031,367,"Fast shipping and secure packaging, will order again.",Twitter,General Praise,0.1751,1,2026-08-27 19:35:34
10032,423,"Decent experience overall, website was okay.",Mobile App,Billing Defect,0.5179,1,2026-09-03 08:59:34
10033,235,The design redesign makes everything so much smooth.,Email Support,Billing Defect,0.1613,1,2026-08-24 15:14:34
10034,926,"Support was helpful about my shipping question, though it took a while to get a straight answer.",Call Center Note,Billing Defect,0.4908,1,2026-09-07 18:11:34
10035,218,"It does what it says, nothing special about the app.",Mobile App,General Praise,0.5847,1,2026-09-07 16:41:34
10036,749,"Decent experience overall, website was okay.",Email Support,Product Quality,0.5294,1,2026-09-04 18:01:34
10037,145,The app works fine but could use minor improvements.,Mobile App,Shipping Delay,0.5086,1,2026-08-19 11:18:34
