feedback_id,user_id,raw_text,channel,aspect_category,urgency_score,label,timestamp
10001,350,Love the new design update! Very smooth.,Twitter,App Crash,0.2966,1,2026-08-18 04:22:33
10002,132,Love the new design update! Very smooth.,Mobile App,Billing Defect,0.2362,1,2026-08-23 11:13:33
10003,303,"Major outage across the platform, unable to log in.",Call Center Note,UI Ergonomics,0.6106,0,2026-08-23 13:11:33
10004,106,"Great quality product, highly recommended!",Twitter,General Praise,0.3238,1,2026-09-01 18:01:33
10005,881,"Double charged on my credit card, fix this immediately!",Email Support,Billing Defect,0.6861,0,2026-08-17 17:43:33
10006,718,Package arrived damaged and customer support is ignoring my emails.,Email Support,Billing Defect,0.939,0,2026-09-03 10:13:33
10007,400,Fast shipping and nice packaging.,Call Center Note,Shipping Delay,0.0315,1,2026-09-08 19:02:33
10008,333,App keeps crashing during checkout payment step!,Email Support,Billing Defect,0.6183,0,2026-08-24 02:41:33
10009,750,Fast shipping and nice packaging.,Email Support,App Crash,0.1112,1,2026-08-30 08:45:33
10010,799,Package arrived damaged and customer support is ignoring my emails.,Mobile App,Product Quality,0.8807,0,2026-09-11 09:58:33
10011,488,"Double charged on my credit card, fix this immediately!",Email Support,General Praise,0.6654,0,2026-09-07 20:45:33
10012,894,Package arrived damaged and customer support is ignoring my emails.,Mobile App,App Crash,0.9371,0,2026-08-14 23:28:33
10013,316,Fast shipping and nice packaging.,Call Center Note,General Praise,0.1071,1,2026-08-27 20:07:33
10014,758,System latency is terrible after the latest update.,Web Review,App Crash,0.7583,0,2026-08-25 13:44:33
10015,864,"Major outage across the platform, unable to log in.",Call Center Note,UI Ergonomics,0.8156,0,2026-09-09 01:47:33
10016,241,"Double charged on my credit card, fix this immediately!",Call Center Note,UI Ergonomics,0.9989,0,2026-08-17 15:42:33
10017,263,Love the new design update! Very smooth.,Web Review,Product Quality,0.0611,1,2026-08-16 09:48:33
10018,641,"Major outage across the platform, unable to log in.",Email Support,Product Quality,0.9984,0,2026-08-14 00:57:33
10019,649,Love the new design update! Very smooth.,Email Support,General Praise,0.2727,1,2026-08-28 23:58:33
10020,103,System latency is terrible after the latest update.,Email Support,Product Quality,0.6633,0,2026-08-21 15:33:33
10021,405,Love the new design update! Very smooth.,Call Center Note,Product Quality,0.3482,1,2026-08-22 13:40:33
10022,897,"Double charged on my credit card, fix this immediately!",Call Center Note,Billing Defect,0.8158,0,2026-09-09 18:37:33
10023,471,App keeps crashing during checkout payment step!,Email Support,App Crash,0.6447,0,2026-08-16 03:41:33
10024,187,"Major outage across the platform, unable to log in.",Web Review,Billing Defect,0.9788,0,2026-09-06 18:16:33
10025,662,Customer support resolved my billing issue in 5 minutes.,Twitter,Shipping Delay,0.2639,1,2026-09-06 12:46:33
10026,652,Fast shipping and nice packaging.,Twitter,General Praise,0.3857,1,2026-08-27 16:53:33
10027,629,Package arrived damaged and customer support is ignoring my emails.,Web Review,Billing Defect,0.7752,0,2026-08-24 19:11:33
10028,667,Package arrived damaged and customer support is ignoring my emails.,Twitter,Product Quality,0.6084,0,2026-08-23 12:57:33
10029,132,App keeps crashing during checkout payment step!,Email Support,Billing Defect,0.6916,0,2026-09-05 22:00:33
10030,235,System latency is terrible after the latest update.,Call Center Note,Product Quality,0.6857,0,2026-09-04 00:41:33
